Profile,Name,Alt,Korean Name,Debut,Company,Members,Or. Members,Type,Fanclub,Active,Debut Year
,HISTORY,,히스토리,2013-04-26,LOEN,5,5,Boy,Storia,No,2026
,AlphaBat,,알파벳,2013-11-14,Simtong,5,9,Boy,,Yes,2014
,ToppDogg,,탑독,2013-10-22,"Stardom, Hunus",5,13,Boy,ToppKlass,No,2022
,Boys Republic,,소년공화국,2013-06-03,"Happy Tribe, Universal",5,5,Boy,Royal Family,Hiatus,2003
,2EYES,,투아이즈,2013-07-20,SidusHQ,4,5,Girl,,No,2020
,Speed,,스피드,2013-01-15,MBK,7,7,Boy,,No,2015
,D.Holic,,디홀릭,2014-10-29,H.Mate,4,5,Girl,,No,2029
,Bob Girls,,단발머리,2014-06-10,Chrome,4,4,Girl,,No,2010
,Badkiz,,배드키즈,2014-03-24,Zoo,5,5,Girl,,No,2024
,4TEN,,포텐,2014-08-26,Jungle,4,4,Girl,,No,2026
Profile,Red Velvet,RV,레드벨벳,2014-08-01,SM,5,4,Girl,,Yes,2001
Profile,Laboum,,라붐,2014-08-27,NH,4,6,Girl,Latte,Yes,2027
Profile,Lovelyz,,러블리즈,2014-11-17,Woollim,8,8,Girl,Lovelinus,No,2017
Profile,Berry Good,,베리굿,2014-05-21,Asia Bridge,6,5,Girl,,No,2021
Profile,Mamamoo,,마마무,2014-06-18,RBW,4,4,Girl,Moomoo,Yes,2018
Profile,Melody Day,,멜로디데이,2014-02-25,Cre.Ker,4,3,Girl,,No,2025
,Minx,,밍스,2014-09-18,Happy Face,5,5,Girl,,No,2018
Profile,Sonamoo,,소나무,2014-12-29,TS,5,7,Girl,Solbangul,No,2029
Profile,MONSTA X,,몬스타엑스,2014-05-14,Starship,6,7,Boy,Monbebe,Yes,2014
Profile,GOT7,,갓세븐,2014-01-16,JYP,7,7,Boy,I GOT7,Hiatus,2016
Profile,WINNER,,위너,2014-08-12,YG,4,5,Boy,Ace,Yes,2012
,JJCC,,제이제이씨씨,2014-03-13,Jackie Chan Group,5,6,Boy,,No,2013
,K-Much,,케이머치,2014-01-07,Chrome,4,5,Boy,,No,2007
,UNIQ,,유니크,2014-10-20,Yuehua,5,5,Boy,Unicorn,Hiatus,2020
,Akdong Musician,AKMU,악동뮤지션,2014-04-07,YG,2,2,Co-ed,,Yes,2007
Profile,B.I.G,,비아이지,2014-07-09,GH,4,5,Boy,,Yes,2009
,Wanna.B,,워너비,2014-11-17,Zenith,5,4,Girl,Ru.B,No,2017
,LU:KUS,,루커스,2014-07-04,JWK,4,5,Boy,,Yes,2004
,Hotshot,,핫샷,2014-10-29,Star Crew,5,6,Boy,,No,2029
,Bigflo,,빅플로,2014-07-19,HO,5,5,Boy,,Yes,2019
,HALO,,헤일로,2014-07-26,Histar,6,6,Boy,,Yes,2026
,Beatwin,,비트윈,2014-01-06,Elen,2,6,Boy,,Hiatus,2006
,Madtown,,매드타운,2014-10-06,GNI,7,7,Boy,,No,2006
,The Legend,,전설,2014-07-09,SS,5,5,Boy,,No,2009
,HIGH4,,하이포,2014-04-08,NAP,4,4,Boy,,No,2008
Profile,April,,에이프릴,2015-08-24,DSP,6,6,Girl,Fineapple,No,2024
Profile,CLC,,씨엘씨,2015-03-19,Cube,5,5,Girl,Chesire,Hiatus,2019
Profile,DIA,,다이아,2015-07-14,MBK,6,7,Girl,AID,Yes,2014
Profile,Oh My Girl,OHMG,오마이걸,2015-04-21,WM,6,8,Girl,Miracle,Yes,2021
Profile,TWICE,,트와이스,2015-10-20,JYP,9,9,Girl,Once,Yes,2020
Profile,Gfriend,,여자친구,2015-01-15,Source,6,6,Girl,Buddy,No,2015
,Unicorn,,유니콘,2015-09-03,Cartoon Blue,4,5,Girl,,No,2003
,Rubber Soul,,러버소울,2015-02-10,Happy Tribe,2,3,Girl,,No,2010
,Playback,,플레이백,2015-06-25,Coridel,5,4,Girl,,No,2025
,N.Flying,,엔플라잉,2015-05-20,FNC,4,4,Boy,N.Fia,Yes,2020
,DAY6,,데이식스,2015-09-07,JYP,5,6,Boy,,Yes,2007
Profile,iKON,,아이콘,2015-09-15,YG,6,7,Boy,iKONIC,Yes,2015
,ROMEO,,로미오,2015-11-04,CT,7,7,Boy,,Yes,2004
Profile,Seventeen,SVT,세븐틴,2015-05-26,Pledis,13,13,Boy,Carat,Yes,2026
,Snuper,,스누퍼,2015-11-16,Widmay,6,6,Boy,Swing,No,2016
Profile,UP10TION,,업텐션,2015-09-10,TOP Media,10,10,Boy,HONEY10,Yes,2010
,myB,,마이비,2015-08-25,Maroo,6,6,Girl,,No,2025
,Girls Girls,,여자여자,2015-12-09,H Brothers,4,5,Girl,,No,2009
,I.C.E,,아이스,2015-11-16,HS,3,4,Girl,,Yes,2016
,Mfect,M.fect,엠펙트,2015-04-27,Midas,5,5,Boy,,Yes,2027
Profile,VAV,,브이에이브이,2015-10-31,A team,7,6,Boy,,Yes,1931
,MAP6,,맵식스,2015-11-10,DreamT,5,5,Boy,,Yes,2010
,Road Boyz,,로드 보이즈,2015-11-17,Coconut,5,5,Boy,,No,2017
,A6P,,에이식스피,2015-05-20,DS,6,6,Boy,,No,2020
Profile,WJSN,Cosmic Girls,우주소녀,2016-02-25,Starship,10,12,Girl,Ujung,Yes,2025
Profile,Gugudan,,구구단,2016-06-28,Jellyfish,8,9,Girl,,No,2028
Profile,BLACKPINK,,블랙핑크,2016-08-08,YG,4,4,Girl,,Yes,2008
,Imfact,,임팩트,2016-01-27,Star Empire,5,5,Boy,,Yes,2027
Profile,KNK,,크나큰,2016-03-03,YNB,5,5,Boy,Tinker Bell,Yes,2003
Profile,NCT,,엔시티,2016-04-09,SM,23,23,Boy,NCTzen,Yes,2009
Profile,PENTAGON,PTG,펜타곤,2016-10-10,Cube,9,10,Boy,,Yes,2010
,ASTRO,,아스트로,2016-02-23,Fantagio,4,6,Boy,AROHA,Yes,2023
Profile,VICTON,,빅톤,2016-11-09,Plan A,6,7,Boy,Alice,Yes,2009
,VROMANCE,,브로맨스,2016-06-12,RBW,4,4,Boy,,Yes,2012
Profile,Momoland,,모모랜드,2016-11-09,Double Kick,6,7,Girl,,Yes,2009
,Mixx,,믹스,2016-05-02,Chiko,5,4,Girl,,No,2002
Profile,SF9,,에스에프나인,2016-10-05,FNC,9,9,Boy,Fantasy,Yes,2005
,CoCoSoRi,,코코소리,2016-01-05,MOLE,2,2,Girl,,No,2005
Profile,Bolbbalgan4,BOL4,볼빨간사춘기,2016-04-22,Shofar,1,2,Girl,,Yes,2022
,Bloomy,,블루미,2016-02-01,DS,4,4,Girl,,Yes,2001
,Bulldok,,불독,2016-10-20,Kconic,5,3,Girl,,No,2020
,Highteen,,하이틴,2016-10-14,Elijah,4,4,Girl,,No,2014
,Masc,,마스크,2016-08-19,JJ Holic,4,8,Boy,,Yes,2019
,Matilda,,마틸다,2016-03-18,Box,4,4,Girl,,No,2018
,Dorothy,,도로시,2016-08-16,Leek Mill,3,5,Girl,,No,2016
,OhBliss,,오블리스,2016-10-17,JT Corea,5,5,Girl,,Yes,2017
,O21,,오투원,2016-06-21,Houxiu,3,6,Girl,,No,2021
